run,epoch,convergence_value
0,0,3.2668354733638836
0,1,2.024177156779937
0,2,0.4260795287693555
0,3,0.03334880779061392
0,4,0.0
1,0,2.755836388870345
1,1,0.2935542640136072
1,2,0.2059912103175719
1,3,0.11121602125158693
1,4,0.05822996302256059
1,5,0.08857129364503727
1,6,0.08588285837552263
1,7,0.05392127071296933
1,8,0.08338496313951835
1,9,0.06794205112824757
1,10,0.051497752154863956
1,11,0.03727315010912261
1,12,0.016340326512184547
1,13,0.010935694674072526
1,14,0.0
2,0,2.5306218696580687
2,1,0.3066657878691035
2,2,0.19721538533939797
2,3,0.12680431232969672
2,4,0.061364022076531875
2,5,0.04051524247352919
2,6,0.04059196368005814
2,7,0.027476823823675108
2,8,0.02746735950725697
2,9,0.043407992578193486
2,10,0.015004044988346496
2,11,0.031923326856965
2,12,0.06246630499295551
2,13,0.05944330626339616
2,14,0.09227415125434243
2,15,0.04762932565880812
2,16,0.04402093948753641
2,17,0.02818266581134575
2,18,0.009963197675464991
2,19,0.010912993629208329
2,20,0.010935694674072526
2,21,0.0
3,0,3.349296642109923
3,1,0.3555038229053839
3,2,0.14905546044904613
3,3,0.10164287362554877
3,4,0.060151571784350245
3,5,0.04296305456984469
3,6,0.01436207152568226
3,7,0.014074182807833869
3,8,0.014816162412532405
3,9,0.0
4,0,3.5693007481036196
4,1,0.8694820340589137
4,2,0.2809421422416931
4,3,0.11175363114729357
4,4,0.06687635001796675
4,5,0.0247579000141117
4,6,0.010113432641475283
4,7,0.017381496745152252
4,8,0.010176915639187895
4,9,0.008881000873264426
4,10,0.007299656867224159
4,11,0.011030749932028495
4,12,0.015080440707926178
4,13,0.022050567968640328
4,14,0.0
5,0,2.0117784713915725
5,1,0.22995857725951982
5,2,0.0347354951602237
5,3,0.011228293704388282
5,4,0.0
6,0,3.1524202872163722
6,1,0.2621267445361144
6,2,0.03334880779061392
6,3,0.0
7,0,3.702886429168757
7,1,1.481463898843645
7,2,0.2038433754967085
7,3,0.03334880779061392
7,4,0.0
8,0,4.816105693119287
8,1,3.706503987590516
8,2,0.2861927619498518
8,3,0.011228293704388282
8,4,0.0
9,0,2.7553767936212052
9,1,0.30713530661371014
9,2,0.068732163747723
9,3,0.03760752152041889
9,4,0.038406631055459425
9,5,0.025551444161419586
9,6,0.010176915639187895
9,7,0.008881000873264426
9,8,0.007299656867224159
9,9,0.011030749932028495
9,10,0.015080440707926178
9,11,0.022050567968640328
9,12,0.0
10,0,3.4003721526468564
10,1,0.9553109783418512
10,2,0.055952292110530946
10,3,0.011170196976493211
10,4,0.0
11,0,2.389536827469272
11,1,0.05735202885187751
11,2,0.011170196976493211
11,3,0.0
12,0,3.0019507306176836
12,1,2.0587023703183327
12,2,0.6506669365195704
12,3,0.04553376682855429
12,4,0.012226380714531913
12,5,0.011228293704388282
12,6,0.0
13,0,3.2668354733638836
13,1,2.024177156779937
13,2,0.4260795287693555
13,3,0.03334880779061392
13,4,0.0
14,0,2.755836388870345
14,1,0.2935542640136072
14,2,0.2059912103175719
14,3,0.11121602125158693
14,4,0.05822996302256059
14,5,0.08857129364503727
14,6,0.08588285837552263
14,7,0.05392127071296933
14,8,0.08338496313951835
14,9,0.06794205112824757
14,10,0.051497752154863956
14,11,0.03727315010912261
14,12,0.016340326512184547
14,13,0.010935694674072526
14,14,0.0
15,0,2.5306218696580687
15,1,0.3066657878691035
15,2,0.19721538533939797
15,3,0.12680431232969672
15,4,0.061364022076531875
15,5,0.04051524247352919
15,6,0.04059196368005814
15,7,0.027476823823675108
15,8,0.02746735950725697
15,9,0.043407992578193486
15,10,0.015004044988346496
15,11,0.031923326856965
15,12,0.06246630499295551
15,13,0.05944330626339616
15,14,0.09227415125434243
15,15,0.04762932565880812
15,16,0.04402093948753641
15,17,0.02818266581134575
15,18,0.009963197675464991
15,19,0.010912993629208329
15,20,0.010935694674072526
15,21,0.0
16,0,3.349296642109923
16,1,0.3555038229053839
16,2,0.14905546044904613
16,3,0.10164287362554877
16,4,0.060151571784350245
16,5,0.04296305456984469
16,6,0.01436207152568226
16,7,0.014074182807833869
16,8,0.014816162412532405
16,9,0.0
17,0,3.5693007481036196
17,1,0.8694820340589137
17,2,0.2809421422416931
17,3,0.11175363114729357
17,4,0.06687635001796675
17,5,0.0247579000141117
17,6,0.010113432641475283
17,7,0.017381496745152252
17,8,0.010176915639187895
17,9,0.008881000873264426
17,10,0.007299656867224159
17,11,0.011030749932028495
17,12,0.015080440707926178
17,13,0.022050567968640328
17,14,0.0
18,0,2.0117784713915725
18,1,0.22995857725951982
18,2,0.0347354951602237
18,3,0.011228293704388282
18,4,0.0
19,0,3.1524202872163722
19,1,0.2621267445361144
19,2,0.03334880779061392
19,3,0.0
20,0,3.702886429168757
20,1,1.481463898843645
20,2,0.2038433754967085
20,3,0.03334880779061392
20,4,0.0
21,0,4.816105693119287
21,1,3.706503987590516
21,2,0.2861927619498518
21,3,0.011228293704388282
21,4,0.0
22,0,2.7553767936212052
22,1,0.30713530661371014
22,2,0.068732163747723
22,3,0.03760752152041889
22,4,0.038406631055459425
22,5,0.025551444161419586
22,6,0.010176915639187895
22,7,0.008881000873264426
22,8,0.007299656867224159
22,9,0.011030749932028495
22,10,0.015080440707926178
22,11,0.022050567968640328
22,12,0.0
23,0,3.4003721526468564
23,1,0.9553109783418512
23,2,0.055952292110530946
23,3,0.011170196976493211
23,4,0.0
24,0,2.389536827469272
24,1,0.05735202885187751
24,2,0.011170196976493211
24,3,0.0
25,0,3.0019507306176836
25,1,2.0587023703183327
25,2,0.6506669365195704
25,3,0.04553376682855429
25,4,0.012226380714531913
25,5,0.011228293704388282
25,6,0.0
26,0,3.2668354733638836
26,1,2.024177156779937
26,2,0.4260795287693555
26,3,0.03334880779061392
26,4,0.0
27,0,2.755836388870345
27,1,0.2935542640136072
27,2,0.2059912103175719
27,3,0.11121602125158693
27,4,0.05822996302256059
27,5,0.08857129364503727
27,6,0.08588285837552263
27,7,0.05392127071296933
27,8,0.08338496313951835
27,9,0.06794205112824757
27,10,0.051497752154863956
27,11,0.03727315010912261
27,12,0.016340326512184547
27,13,0.010935694674072526
27,14,0.0
28,0,2.5306218696580687
28,1,0.3066657878691035
28,2,0.19721538533939797
28,3,0.12680431232969672
28,4,0.061364022076531875
28,5,0.04051524247352919
28,6,0.04059196368005814
28,7,0.027476823823675108
28,8,0.02746735950725697
28,9,0.043407992578193486
28,10,0.015004044988346496
28,11,0.031923326856965
28,12,0.06246630499295551
28,13,0.05944330626339616
28,14,0.09227415125434243
28,15,0.04762932565880812
28,16,0.04402093948753641
28,17,0.02818266581134575
28,18,0.009963197675464991
28,19,0.010912993629208329
28,20,0.010935694674072526
28,21,0.0
29,0,3.349296642109923
29,1,0.3555038229053839
29,2,0.14905546044904613
29,3,0.10164287362554877
29,4,0.060151571784350245
29,5,0.04296305456984469
29,6,0.01436207152568226
29,7,0.014074182807833869
29,8,0.014816162412532405
29,9,0.0
30,0,3.5693007481036196
30,1,0.8694820340589137
30,2,0.2809421422416931
30,3,0.11175363114729357
30,4,0.06687635001796675
30,5,0.0247579000141117
30,6,0.010113432641475283
30,7,0.017381496745152252
30,8,0.010176915639187895
30,9,0.008881000873264426
30,10,0.007299656867224159
30,11,0.011030749932028495
30,12,0.015080440707926178
30,13,0.022050567968640328
30,14,0.0
31,0,2.0117784713915725
31,1,0.22995857725951982
31,2,0.0347354951602237
31,3,0.011228293704388282
31,4,0.0
32,0,3.1524202872163722
32,1,0.2621267445361144
32,2,0.03334880779061392
32,3,0.0
33,0,3.702886429168757
33,1,1.481463898843645
33,2,0.2038433754967085
33,3,0.03334880779061392
33,4,0.0
34,0,4.816105693119287
34,1,3.706503987590516
34,2,0.2861927619498518
34,3,0.011228293704388282
34,4,0.0
35,0,2.7553767936212052
35,1,0.30713530661371014
